Laser id,Elevation,Azimuth
1,14.803,-1.042
2,10.953,-1.042
3,7.98,-1.042
4,4.978,-1.042
5,2.961,-1.042
6,1.949,-1.042
7,1.781,1.042
8,1.609,3.125
9,1.443,5.208
10,1.272,-5.208
11,1.105,-3.125
12,0.934,-1.042
13,0.767,1.042
14,0.596,3.125
15,0.429,5.208
16,0.258,-5.208
17,0.09,-3.125
18,-0.079,-1.042
19,-0.248,1.042
20,-0.416,3.125
21,-0.587,5.208
22,-0.754,-5.208
23,-0.924,-3.125
24,-1.092,-1.042
25,-1.263,1.042
26,-1.43,3.125
27,-1.601,5.208
28,-1.767,-5.208
29,-1.939,-3.125
30,-2.107,-1.042
31,-2.277,1.042
32,-2.444,3.125
33,-2.615,5.208
34,-2.779,-5.208
35,-2.952,-3.125
36,-3.119,-1.042
37,-3.289,1.042
38,-3.454,3.125
39,-3.627,5.208
40,-3.791,-5.208
41,-3.963,-3.125
42,-4.129,-1.042
43,-4.3,1.042
44,-4.464,3.125
45,-4.637,5.208
46,-4.799,-5.208
47,-4.971,-3.125
48,-5.136,-1.042
49,-5.308,1.042
50,-5.47,3.125
51,-5.644,5.208
52,-5.805,-5.208
53,-5.977,-3.125
54,-6.14,-1.042
55,-7.142,-1.042
56,-8.138,-1.042
57,-9.139,-1.042
58,-10.124,-1.042
59,-11.111,-1.042
60,-12.085,-1.042
61,-13.053,-1.042
62,-14.009,-1.042
63,-18.968,-1.042
64,-24.976,-1.042